date,time,temperature,humidity,windspeed,pressure,visibility,sunrise,sunset,weather
1456358400,12,14,69,27,986,10,7,18,Partly cloudy
1456358400,15,11,78,29,988,10,7,18,Overcast
1456358400,18,8,80,17,990,10,7,18,Overcast
1456358400,21,6,85,20,993,9,7,18,Light rain
1456444800,0,4,82,16,994,10,7,18,Cloudy
1456444800,3,2,77,22,998,10,7,18,Light snow
1456444800,6,1,70,14,1001,10,7,18,Partly cloudy
1456444800,9,1,51,24,1004,10,7,18,Sunny
1456444800,12,3,38,23,1005,10,7,18,Sunny
1456444800,15,1,38,25,1009,10,7,18,Sunny
1456444800,18,-2,47,16,1012,10,7,18,Clear
1456444800,21,-4,38,19,1015,10,7,18,Clear
1456531200,0,-3,36,12,1017,10,7,19,Clear
1456531200,3,-4,35,13,1017,10,7,19,Clear
1456531200,6,-3,36,9,1018,10,7,19,Sunny
1456531200,9,1,29,9,1017,10,7,19,Sunny
1456531200,12,5,22,9,1016,10,7,19,Sunny
1456531200,15,2,33,18,1015,10,7,19,Sunny
1456531200,18,-1,53,17,1014,10,7,19,Partly cloudy
1456531200,21,0,56,19,1013,10,7,19,Cloudy
1456617600,0,2,62,14,1011,10,7,19,Overcast
1456617600,3,2,69,17,1011,10,7,19,Cloudy
1456617600,6,2,77,11,1012,10,7,19,Cloudy
1456617600,9,6,67,17,1012,10,7,19,Partly cloudy
1456617600,12,12,61,12,1010,10,7,19,Partly cloudy
1456617600,15,10,71,16,1009,10,7,19,Partly cloudy
1456617600,18,7,90,13,1008,10,7,19,Partly cloudy
1456617600,21,7,85,18,1008,10,7,19,Clear
1456704000,0,7,86,14,1006,10,7,19,Clear
1456704000,3,7,89,19,1004,10,7,19,Clear
1456704000,6,7,82,17,1002,10,7,19,Sunny
1456704000,9,11,71,26,1001,10,7,19,Sunny
1456704000,12,15,63,18,999,10,7,19,Cloudy
1456704000,15,12,77,19,1002,9,7,19,Patchy rain possible
1456704000,18,8,68,14,1005,10,7,19,Clear
1456704000,21,6,76,10,1008,10,7,19,Clear
1456790400,0,6,81,16,1010,10,7,19,Overcast
1456790400,3,3,64,21,1015,10,7,19,Clear
1456790400,6,1,56,10,1019,10,7,19,Sunny
1456790400,9,3,39,8,1022,10,7,19,Sunny
1456790400,12,8,31,4,1021,10,7,19,Partly cloudy
1456790400,15,7,40,10,1020,10,7,19,Sunny
1456790400,18,2,67,15,1018,10,7,19,Clear
1456790400,21,2,72,16,1015,10,7,19,Clear
1456876800,0,5,83,16,1010,10,7,19,Overcast
